train_seed,split_id,config_name,group,checkpoint_step,mean_success_rate,mean_avg_return,mean_first_success_step,n_runs,mean_success_rate_smooth,mean_avg_return_smooth,mean_first_success_step_smooth
11,0,config_A,test,1650000,1.0,489.0671313737069,113.2,1,1.0,489.0671313737069,113.2
11,0,config_B,test,2350000,0.8,1199.702198983627,152.75,1,0.8,1199.702198983627,152.75
11,0,config_C,test,2000000,0.2,15.81071574395441,61.0,1,0.2,15.81071574395441,61.0
11,0,config_D,test,1800000,1.0,559.7578894339565,118.8,1,1.0,559.7578894339565,118.8
11,0,config_E,test,1100000,1.0,263.53994055979246,113.4,1,1.0,263.53994055979246,113.4
11,1,config_A,test,1550000,1.0,339.8644902141409,120.0,1,1.0,339.8644902141409,120.0
11,1,config_B,test,1600000,0.0,299.39989217715845,,1,0.0,299.39989217715845,
11,1,config_C,test,350000,0.0,315.7673599429114,,1,0.0,315.7673599429114,
11,1,config_D,test,1500000,0.8,567.2068159828334,73.25,1,0.8,567.2068159828334,73.25
11,1,config_E,test,700000,0.0,223.9385181751495,,1,0.0,223.9385181751495,
11,2,config_A,test,2500000,1.0,582.470398292621,142.2,1,1.0,582.470398292621,142.2
11,2,config_B,test,1550000,1.0,235.9178305920108,75.0,1,1.0,235.9178305920108,75.0
11,2,config_C,test,2000000,1.0,178.36152592257042,87.6,1,1.0,178.36152592257042,87.6
11,2,config_D,test,1800000,1.0,250.6049530212724,86.0,1,1.0,250.6049530212724,86.0
11,2,config_E,test,1800000,0.0,1102.9752914909284,,1,0.0,1102.9752914909284,
11,3,config_A,test,2500000,0.0,1045.6038018185857,,1,0.0,1045.6038018185857,
11,3,config_B,test,2200000,1.0,161.59448783520435,64.0,1,1.0,161.59448783520435,64.0
11,3,config_C,test,2250000,0.2,697.6864410188767,130.0,1,0.2,697.6864410188767,130.0
11,3,config_D,test,1500000,0.4,89.23575864777318,72.5,1,0.4,89.23575864777318,72.5
11,3,config_E,test,2450000,0.0,1283.4667927963642,,1,0.0,1283.4667927963642,
11,4,config_A,test,1750000,1.0,359.83643754765,109.4,1,1.0,359.83643754765,109.4
11,4,config_B,test,2500000,0.0,1421.0578040603646,,1,0.0,1421.0578040603646,
11,4,config_C,test,2000000,0.0,715.1466244138534,,1,0.0,715.1466244138534,
11,4,config_D,test,1650000,1.0,397.9606804947389,115.0,1,1.0,397.9606804947389,115.0
11,4,config_E,test,2350000,0.0,563.1030005767662,,1,0.0,563.1030005767662,
