config_name,config_A,config_A,config_B,config_B,config_C,config_C,config_D,config_D,config_E,config_E
group,test,train,test,train,test,train,test,train,test,train
checkpoint_step,,,,,,,,,,
50000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300000,0.0,0.0,0.0,0.0,0.0,0.00444444444444444,0.0,0.0,0.0,0.0
350000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450000,0.0,0.0,0.0,0.0,0.0,0.00444444444444444,0.0,0.0,0.0,0.0
500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
650000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00444444444444444,0.0,0.0
700000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00444444444444444,0.0,0.0
750000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00888888888888888,0.0,0.0
850000,0.0,0.0,0.0,0.0,0.0,0.00888888888888888,0.0,0.0,0.0,0.0
900000,0.0,0.0,0.0,0.0,0.0,0.00444444444444444,0.0,0.00888888888888888,0.0,0.00888888888888888
950000,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02666666666666666,0.0,0.013333333333333319
1000000,0.0,0.00888888888888888,0.0,0.0,0.0,0.013333333333333319,0.16,0.16444444444444445,0.08,0.17333333333333334
1050000,0.0,0.03999999999999998,0.0,0.013333333333333319,0.0,0.01777777777777776,0.16,0.2311111111111111,0.16,0.13777777777777778
1100000,0.04,0.09777777777777777,0.04,0.03555555555555554,0.0,0.00444444444444444,0.32,0.3288888888888889,0.2,0.13777777777777778
1150000,0.12000000000000002,0.15555555555555553,0.08,0.06222222222222222,0.0,0.01777777777777776,0.32,0.3911111111111111,0.12,0.11111111111111112
1200000,0.16,0.2,0.08,0.08444444444444445,0.0,0.013333333333333319,0.28,0.4311111111111111,0.16,0.10666666666666666
1250000,0.2,0.24888888888888888,0.08,0.08888888888888888,0.0,0.013333333333333319,0.4,0.4888888888888888,0.16,0.1288888888888889
1300000,0.32,0.3466666666666666,0.12,0.12,0.0,0.00444444444444444,0.4,0.49333333333333335,0.12,0.12
1350000,0.32,0.4,0.08,0.13333333333333333,0.0,0.026666666666666637,0.4,0.49777777777777776,0.12,0.10666666666666666
1400000,0.32,0.43999999999999995,0.08,0.11555555555555555,0.0,0.00444444444444444,0.64,0.5955555555555556,0.04,0.11111111111111112
1450000,0.4,0.4666666666666667,0.16,0.14222222222222222,0.04,0.00444444444444444,0.5599999999999999,0.6,0.04,0.13333333333333333
1500000,0.52,0.5466666666666666,0.12,0.14222222222222222,0.0,0.00888888888888888,0.56,0.6044444444444445,0.04,0.10666666666666666
1550000,0.72,0.5777777777777777,0.2,0.1688888888888889,0.0,0.00444444444444444,0.48,0.6133333333333333,0.16,0.11111111111111112
1600000,0.36,0.48,0.2,0.19111111111111106,0.0,0.0,0.44000000000000006,0.6044444444444445,0.04,0.10222222222222221
1650000,0.5599999999999999,0.5333333333333333,0.2,0.19555555555555554,0.04,0.00888888888888888,0.64,0.6488888888888888,0.04,0.12
1700000,0.48,0.5555555555555556,0.2,0.19111111111111112,0.04,0.00888888888888888,0.5599999999999999,0.6755555555555555,0.16,0.08888888888888888
1750000,0.6,0.5466666666666666,0.16,0.15555555555555553,0.04,0.03999999999999998,0.68,0.7066666666666667,0.12,0.12
1800000,0.6,0.5644444444444444,0.24,0.1911111111111111,0.08,0.0711111111111111,0.72,0.6177777777777778,0.16,0.0711111111111111
1850000,0.64,0.6177777777777778,0.32,0.3466666666666666,0.16,0.09333333333333334,0.6,0.6799999999999999,0.08,0.0311111111111111
1900000,0.6,0.6133333333333333,0.4,0.3333333333333333,0.12,0.10666666666666666,0.68,0.7288888888888888,0.12,0.07555555555555554
1950000,0.6799999999999999,0.6755555555555556,0.44000000000000006,0.36444444444444446,0.16,0.07555555555555554,0.72,0.72,0.12,0.13777777777777778
2000000,0.68,0.6977777777777778,0.4,0.4133333333333333,0.24,0.08888888888888888,0.64,0.6088888888888888,0.04,0.10666666666666665
2050000,0.6,0.6933333333333334,0.44000000000000006,0.4311111111111111,0.16,0.09333333333333334,0.64,0.6577777777777778,0.08,0.0311111111111111
2100000,0.5599999999999999,0.6977777777777778,0.4,0.42666666666666664,0.16,0.0711111111111111,0.56,0.6,0.16,0.1511111111111111
2150000,0.6,0.72,0.44000000000000006,0.46222222222222226,0.16,0.08444444444444445,0.64,0.6577777777777778,0.08,0.12
2200000,0.6,0.6622222222222222,0.52,0.49333333333333335,0.12,0.09333333333333332,0.72,0.72,0.08,0.07555555555555554
2250000,0.68,0.6933333333333334,0.5599999999999999,0.5155555555555555,0.08,0.0311111111111111,0.6799999999999999,0.7555555555555555,0.08,0.13333333333333333
2300000,0.5599999999999999,0.6444444444444445,0.5599999999999999,0.5244444444444445,0.0,0.05777777777777776,0.5599999999999999,0.7022222222222222,0.08,0.09333333333333334
2350000,0.5599999999999999,0.6044444444444445,0.5599999999999999,0.52,0.04,0.02666666666666666,0.64,0.7333333333333334,0.12,0.1333333333333333
2400000,0.72,0.711111111111111,0.44000000000000006,0.52,0.0,0.03555555555555554,0.6799999999999999,0.7422222222222221,0.12,0.11111111111111112
2450000,0.5599999999999999,0.7066666666666667,0.4800000000000001,0.4666666666666666,0.08,0.08888888888888888,0.8,0.7333333333333333,0.12,0.14666666666666664
2500000,0.6799999999999999,0.7155555555555555,0.52,0.5288888888888889,0.12,0.0711111111111111,0.6,0.7066666666666667,0.04,0.13777777777777775
