config_name,config_A,config_A,config_B,config_B,config_C,config_C,config_D,config_D,config_E,config_E
group,test,train,test,train,test,train,test,train,test,train
checkpoint_step,,,,,,,,,,
5000,0.04,0.04444444444444442,0.0,0.00444444444444444,0.04,0.048888888888888885,0.04,0.03999999999999998,0.04,0.06666666666666664
10000,0.2,0.2533333333333333,0.08,0.07999999999999999,0.16,0.1288888888888889,0.2,0.21777777777777776,0.16,0.06666666666666664
15000,0.48,0.43999999999999995,0.2,0.17333333333333328,0.56,0.39555555555555555,0.44000000000000006,0.3822222222222222,0.52,0.4488888888888889
20000,0.5599999999999999,0.5466666666666666,0.24,0.21777777777777776,0.48,0.48,0.5599999999999999,0.52,0.5599999999999999,0.5555555555555556
25000,0.72,0.72,0.36,0.3022222222222222,0.5599999999999999,0.5866666666666667,0.76,0.6933333333333334,0.8800000000000001,0.7644444444444444
30000,0.76,0.7777777777777778,0.6,0.5422222222222223,0.64,0.6577777777777778,0.72,0.7066666666666667,0.9199999999999999,0.8044444444444444
35000,0.8800000000000001,0.8755555555555556,0.6799999999999999,0.6044444444444445,0.8400000000000001,0.8444444444444444,0.8800000000000001,0.8933333333333333,0.8400000000000001,0.8444444444444444
40000,0.8800000000000001,0.8266666666666665,0.6799999999999999,0.6666666666666666,0.8400000000000001,0.8177777777777777,0.9199999999999999,0.9288888888888888,0.8400000000000001,0.8666666666666666
45000,0.8800000000000001,0.8977777777777778,0.72,0.7066666666666667,0.8400000000000001,0.8044444444444444,0.96,0.9511111111111111,0.9199999999999999,0.928888888888889
50000,0.96,0.9822222222222223,0.64,0.6266666666666667,0.9199999999999999,0.8933333333333333,1.0,1.0,0.96,0.9288888888888888
55000,1.0,0.9822222222222223,0.64,0.5777777777777777,0.9199999999999999,0.8933333333333333,1.0,0.9688888888888888,0.96,0.9555555555555555
60000,0.96,0.9466666666666667,0.64,0.6488888888888888,0.9199999999999999,0.8977777777777778,1.0,0.9955555555555555,0.9199999999999999,0.9511111111111111
65000,0.96,0.9688888888888888,0.8,0.7555555555555555,0.96,0.9066666666666666,1.0,1.0,0.96,0.9688888888888888
70000,0.96,0.96,0.8,0.8,0.96,0.9066666666666666,1.0,1.0,0.96,0.9822222222222221
75000,0.96,0.9866666666666667,0.8,0.8044444444444444,0.96,0.9155555555555555,1.0,1.0,0.96,0.9733333333333334
80000,0.96,0.9955555555555555,0.8,0.8044444444444444,0.96,0.9466666666666667,1.0,1.0,0.9199999999999999,0.9733333333333334
85000,1.0,1.0,0.8800000000000001,0.8311111111111111,0.8800000000000001,0.9333333333333332,1.0,1.0,0.9199999999999999,0.968888888888889
90000,0.96,0.9866666666666667,0.9199999999999999,0.8844444444444445,0.8800000000000001,0.9377777777777778,1.0,1.0,0.9199999999999999,0.968888888888889
95000,1.0,0.9955555555555555,0.9199999999999999,0.8933333333333333,0.96,0.9688888888888888,1.0,1.0,0.9199999999999999,0.9555555555555555
100000,1.0,1.0,0.9199999999999999,0.8933333333333333,0.96,0.9466666666666667,1.0,1.0,1.0,1.0
105000,1.0,1.0,0.9199999999999999,0.8977777777777778,0.96,0.9466666666666667,1.0,1.0,1.0,1.0
110000,1.0,1.0,0.96,0.9199999999999999,0.96,0.9466666666666667,1.0,1.0,1.0,1.0
115000,1.0,1.0,0.96,0.9733333333333334,0.96,0.9555555555555555,1.0,1.0,1.0,1.0
120000,1.0,1.0,1.0,0.9955555555555555,0.96,0.9555555555555555,1.0,1.0,1.0,1.0
125000,1.0,1.0,1.0,1.0,0.96,0.9777777777777779,1.0,1.0,1.0,1.0
130000,1.0,1.0,1.0,1.0,0.96,0.9911111111111112,1.0,1.0,1.0,1.0
135000,1.0,1.0,1.0,1.0,1.0,0.9955555555555555,1.0,1.0,1.0,1.0
140000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
145000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
155000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
160000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
165000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
170000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
175000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
180000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
185000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
190000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
195000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
205000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
210000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
215000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
220000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
225000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
230000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
235000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
240000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
245000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
250000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
255000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
260000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
265000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
270000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
275000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9955555555555555
280000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
