train_seed,config_name,group,checkpoint_step,mean_success_rate,mean_avg_return,mean_first_success_step,n_runs
11,config_A,test,10000,0.0,9.242849655520223,,5
11,config_A,test,20000,0.0,9.698350066888436,,5
11,config_A,test,30000,0.0,16.836602883541374,,5
11,config_A,test,40000,0.0,39.39919778653278,,5
11,config_A,test,50000,0.0,26.53680390792428,,10
11,config_A,test,60000,0.0,32.823490999246566,,5
11,config_A,test,70000,0.0,55.04880168015859,,5
11,config_A,test,80000,0.04,88.48004954546812,81.0,5
11,config_A,test,90000,0.0,38.437534375634286,,5
11,config_A,test,100000,0.04,107.5694370760491,78.0,10
11,config_A,test,110000,0.04,92.89146985387923,85.0,5
11,config_A,test,120000,0.04,88.87478125104411,95.0,5
11,config_A,test,130000,0.04,85.79272488637858,184.0,5
11,config_A,test,140000,0.0,105.74148067022706,,5
11,config_A,test,150000,0.0,45.88319083299705,,10
11,config_A,test,160000,0.0,44.76348680069944,,5
11,config_A,test,170000,0.0,62.5391433056155,,5
11,config_A,test,180000,0.0,41.39784099320942,,5
11,config_A,test,190000,0.0,36.47767517710836,,5
11,config_A,test,200000,0.04,37.55018143214612,102.0,10
11,config_A,test,210000,0.0,48.54303381025261,,5
11,config_A,test,220000,0.0,45.88455591841341,,5
11,config_A,test,230000,0.0,34.17346023993222,,5
11,config_A,test,240000,0.0,88.39864015092995,,5
11,config_A,test,250000,0.04,42.437995103699585,66.0,10
11,config_A,test,260000,0.04,38.22404164866599,63.0,5
11,config_A,test,270000,0.04,93.38463132997516,62.0,5
11,config_A,test,280000,0.04,35.05778568198537,68.0,5
11,config_A,test,290000,0.04,34.48296763410103,77.0,5
11,config_A,test,300000,0.04,100.52416625024452,90.0,10
11,config_A,test,310000,0.04,50.86209481676265,59.0,5
11,config_A,test,320000,0.0,131.499143650542,,5
11,config_A,test,330000,0.0,35.92313830935812,,5
11,config_A,test,340000,0.0,64.12997766840365,,5
11,config_A,test,350000,0.0,116.34841875892934,,10
11,config_A,test,360000,0.0,211.7546780526315,,5
11,config_A,test,370000,0.0,130.81932752039785,,5
11,config_A,test,380000,0.0,87.90321856220226,,5
11,config_A,test,390000,0.08,121.52829908967439,48.0,5
11,config_A,test,400000,0.08,241.49736138003695,54.0,10
11,config_A,test,410000,0.0,192.2457814064857,,5
11,config_A,test,420000,0.04,141.2108195422292,52.0,5
11,config_A,test,430000,0.12000000000000002,139.56267689430626,57.25,5
11,config_A,test,440000,0.08,246.30601552474482,70.0,5
11,config_A,test,450000,0.04,261.2530268602681,37.0,10
11,config_A,test,460000,0.08,227.52498835326415,39.0,5
11,config_A,test,470000,0.12000000000000002,228.94310469645197,66.25,5
11,config_A,test,480000,0.08,115.01539512804243,44.0,5
11,config_A,test,490000,0.0,173.47673812517687,,5
11,config_A,test,500000,0.08,129.37685377569724,47.0,10
11,config_A,test,510000,0.04,218.81367604499437,35.0,5
11,config_A,test,520000,0.08,181.8889321920828,35.5,5
11,config_A,test,530000,0.08,249.4012617146571,35.0,5
11,config_A,test,540000,0.08,193.52553854381836,40.5,5
11,config_A,test,550000,0.08,140.18811232776847,35.5,10
11,config_A,test,560000,0.12000000000000002,99.99620992015481,54.0,5
11,config_A,test,570000,0.16,169.72641635211372,80.0,5
11,config_A,test,580000,0.12,249.77279943878239,36.0,5
11,config_A,test,590000,0.04,147.04300283244618,129.0,5
11,config_A,test,600000,0.08,279.09495814323543,211.5,10
11,config_A,test,610000,0.12000000000000002,392.59145510780905,47.5,5
11,config_A,test,620000,0.08,368.80655324410003,48.5,5
11,config_A,test,630000,0.04,289.68398062879066,36.0,5
11,config_A,test,640000,0.12000000000000002,452.6869056230263,66.0,5
11,config_A,test,650000,0.12000000000000002,437.97614801278417,63.666666666666664,10
11,config_A,test,660000,0.12000000000000002,316.07813355195253,55.5,5
11,config_A,test,670000,0.15999999999999998,338.9479942150982,45.0,5
11,config_A,test,680000,0.16,320.24752582197095,76.83333333333333,5
11,config_A,test,690000,0.16,283.80860185636163,56.5,5
11,config_A,test,700000,0.08,344.3737711400209,77.5,10
11,config_A,test,710000,0.08,360.4577579922968,59.0,5
11,config_A,test,720000,0.12000000000000002,255.13596751636155,142.5,5
11,config_A,test,730000,0.08,242.5207527423835,101.0,5
11,config_A,test,740000,0.08,390.8693477018363,41.5,5
11,config_A,test,750000,0.16,361.79492967174303,104.83333333333333,10
11,config_A,test,760000,0.08,365.2123743840149,42.0,5
11,config_A,test,770000,0.12000000000000002,332.72080287797957,97.5,5
11,config_A,test,780000,0.28,210.37649851117675,84.08333333333333,5
11,config_A,test,790000,0.16,344.0434524569498,56.5,5
11,config_A,test,800000,0.2,273.99072875096874,70.16666666666667,10
11,config_A,test,810000,0.27999999999999997,187.35032833597415,69.55555555555556,5
11,config_A,test,820000,0.27999999999999997,129.401999520245,62.88888888888889,5
11,config_A,test,830000,0.27999999999999997,244.24992575020377,59.055555555555564,5
11,config_A,test,840000,0.24000000000000005,166.05874774516346,60.166666666666664,5
11,config_A,test,850000,0.32,193.24475394382932,63.77777777777777,10
11,config_A,test,860000,0.24000000000000005,141.8574063505069,63.0,5
11,config_A,test,870000,0.24,163.7380369187506,59.61111111111111,5
11,config_A,test,880000,0.27999999999999997,248.87496556479022,62.333333333333336,5
11,config_A,test,890000,0.24,250.87245209084207,64.05555555555556,5
11,config_A,test,900000,0.24000000000000005,186.1542918798409,62.166666666666664,10
