config_name,config_A,config_A,config_B,config_B,config_C,config_C,config_D,config_D,config_E,config_E
group,test,train,test,train,test,train,test,train,test,train
checkpoint_step,,,,,,,,,,
10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
20000,0.0,0.0,0.0,0.0,0.0,0.00444444444444444,0.0,0.0,,
30000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
40000,0.0,0.0,0.0,0.00444444444444444,0.0,0.0,0.0,0.0,,
50000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60000,0.0,0.00444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,,
70000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
80000,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
90000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
100000,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110000,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
120000,0.04,0.00444444444444444,0.0,0.0,0.0,0.00444444444444444,0.0,0.0,,
130000,0.04,0.00888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,,
140000,0.0,0.00444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,,
150000,0.0,0.0,0.0,0.0,0.0,0.00444444444444444,0.0,0.0,0.0,0.0
160000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
170000,0.0,0.00444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,,
180000,0.0,0.00444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,,
190000,0.0,0.00444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,,
200000,0.04,0.00444444444444444,0.0,0.0,0.0,0.0,0.0,0.00444444444444444,0.0,0.0
210000,0.0,0.00888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,,
220000,0.0,0.01777777777777776,0.0,0.0,0.0,0.0,0.0,0.00444444444444444,,
230000,0.0,0.00888888888888888,0.0,0.0,0.0,0.013333333333333319,0.0,0.0,,
240000,0.0,0.00888888888888888,0.0,0.0,0.0,0.00888888888888888,0.0,0.00444444444444444,,
250000,0.04,0.00444444444444444,0.0,0.0,0.0,0.00888888888888888,0.0,0.0,0.04,0.00444444444444444
260000,0.04,0.00444444444444444,0.0,0.0,0.0,0.013333333333333319,0.0,0.00888888888888888,,
270000,0.04,0.00444444444444444,0.0,0.0,0.0,0.013333333333333319,0.0,0.00444444444444444,,
280000,0.04,0.013333333333333319,0.0,0.0,0.0,0.0,0.0,0.00444444444444444,,
290000,0.04,0.013333333333333319,0.0,0.0,0.0,0.00444444444444444,0.0,0.0,,
300000,0.04,0.00888888888888888,0.0,0.00444444444444444,0.0,0.0,0.0,0.0,0.0,0.00888888888888888
310000,0.04,0.00444444444444444,0.0,0.0,0.0,0.00444444444444444,0.0,0.00888888888888888,,
320000,0.0,0.01777777777777776,0.0,0.0,0.08,0.00444444444444444,0.0,0.013333333333333319,,
330000,0.0,0.00888888888888888,0.0,0.0,0.04,0.00444444444444444,0.0,0.00444444444444444,,
340000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00888888888888888,,
350000,0.0,0.00888888888888888,0.0,0.0,0.0,0.0,0.0,0.01777777777777776,0.0,0.00888888888888888
360000,0.0,0.0,0.0,0.00444444444444444,0.04,0.0,0.0,0.00444444444444444,,
370000,0.0,0.00888888888888888,0.0,0.0,0.0,0.00444444444444444,0.0,0.0222222222222222,,
380000,0.0,0.013333333333333319,0.0,0.0,0.0,0.00444444444444444,0.0,0.026666666666666637,,
390000,0.08,0.026666666666666637,0.0,0.0,0.0,0.00888888888888888,0.0,0.03999999999999996,,
400000,0.08,0.01777777777777776,0.0,0.0,0.0,0.00888888888888888,0.04,0.08888888888888886,0.04,0.026666666666666637
410000,0.0,0.00888888888888888,0.0,0.0,0.0,0.00444444444444444,0.0,0.0933333333333333,,
420000,0.04,0.00888888888888888,0.0,0.0,0.0,0.00888888888888888,0.12000000000000002,0.0844444444444444,,
430000,0.12000000000000002,0.01777777777777776,0.0,0.00444444444444444,0.04,0.00444444444444444,0.08,0.06666666666666664,,
440000,0.08,0.0311111111111111,0.0,0.0,0.0,0.013333333333333319,0.08,0.04888888888888886,,
450000,0.04,0.0222222222222222,0.0,0.00444444444444444,0.0,0.01777777777777776,0.12000000000000002,0.07111111111111108,0.04,0.04444444444444442
460000,0.08,0.0222222222222222,0.0,0.0,0.0,0.00444444444444444,0.04,0.06666666666666667,,
470000,0.12000000000000002,0.03999999999999998,0.0,0.0,0.0,0.013333333333333319,0.08,0.11111111111111108,,
480000,0.08,0.0311111111111111,0.0,0.013333333333333319,0.0,0.00444444444444444,0.0,0.0533333333333333,,
490000,0.0,0.013333333333333319,0.0,0.00444444444444444,0.0,0.00888888888888888,0.04,0.08888888888888886,,
500000,0.08,0.00888888888888888,0.0,0.0,0.0,0.00888888888888888,0.08,0.1422222222222222,0.04,0.08888888888888886
510000,0.04,0.03111111111111108,0.0,0.0,0.04,0.00444444444444444,0.08,0.11555555555555552,,
520000,0.08,0.02666666666666666,0.0,0.0,0.04,0.0,0.04,0.15555555555555553,,
530000,0.08,0.04888888888888886,0.0,0.00444444444444444,0.04,0.01777777777777776,0.04,0.12444444444444443,,
540000,0.08,0.03555555555555554,0.0,0.00444444444444444,0.0,0.026666666666666637,0.08,0.16888888888888887,,
550000,0.08,0.06666666666666664,0.0,0.00888888888888888,0.0,0.03111111111111108,0.12000000000000002,0.1644444444444444,0.08,0.05333333333333332
560000,0.12000000000000002,0.0622222222222222,0.0,0.0311111111111111,0.04,0.00888888888888888,0.12000000000000002,0.17333333333333328,,
570000,0.16,0.0711111111111111,0.16,0.04,0.04,0.03555555555555554,0.04,0.16888888888888887,,
580000,0.12,0.06666666666666667,0.16,0.03555555555555554,0.04,0.0222222222222222,0.12,0.18666666666666665,,
590000,0.04,0.07555555555555554,0.16,0.04,0.04,0.00888888888888888,0.12000000000000002,0.1644444444444444,,
600000,0.08,0.08888888888888886,0.2,0.04,0.08,0.0222222222222222,0.2,0.15111111111111106,0.12000000000000002,0.1244444444444444
