split_id,config_name,group,checkpoint_step,mean_success_rate,mean_avg_return,mean_first_success_step,n_runs,mean_success_rate_smooth,mean_avg_return_smooth,mean_first_success_step_smooth
0,config_A,test,620000,1.0,629.6149141886956,110.0,1,1.0,629.6149141886956,110.0
0,config_B,test,1230000,1.0,875.6094685418673,130.2,1,1.0,875.6094685418673,130.2
0,config_C,test,550000,1.0,735.0987568421845,163.2,2,1.0,735.0987568421845,163.2
0,config_D,test,2170000,1.0,251.14674372397144,51.8,1,1.0,251.14674372397144,51.8
0,config_E,test,4350000,1.0,445.4803980944607,93.2,1,1.0,445.4803980944607,93.2
1,config_A,test,2320000,1.0,1161.2553428077877,140.6,1,1.0,1161.2553428077877,140.6
1,config_B,test,1180000,1.0,973.673124470752,143.6,1,1.0,973.673124470752,143.6
1,config_C,test,2600000,1.0,697.7989471078191,124.8,2,1.0,697.7989471078191,124.8
1,config_D,test,630000,1.0,733.5648161420174,121.0,1,1.0,733.5648161420174,121.0
1,config_E,test,550000,1.0,1240.3586956619797,165.4,1,1.0,1240.3586956619797,165.4
2,config_A,test,690000,1.0,801.0862893932042,122.2,1,1.0,801.0862893932042,122.2
2,config_B,test,1790000,1.0,837.52226567667,118.0,1,1.0,837.52226567667,118.0
2,config_C,test,3180000,1.0,922.1550720288594,128.4,1,1.0,922.1550720288594,128.4
2,config_D,test,960000,1.0,242.4338709321816,95.2,1,1.0,242.4338709321816,95.2
2,config_E,test,1150000,1.0,835.6596608226243,114.2,1,1.0,835.6596608226243,114.2
3,config_A,test,440000,1.0,227.06420577117848,53.6,1,1.0,227.06420577117848,53.6
3,config_B,test,1440000,1.0,511.1715624175408,82.8,1,1.0,511.1715624175408,82.8
3,config_C,test,3620000,1.0,768.3127280340307,108.0,1,1.0,768.3127280340307,108.0
3,config_D,test,2340000,1.0,679.6764841819039,92.8,1,1.0,679.6764841819039,92.8
3,config_E,test,1850000,1.0,508.4132395667988,77.6,1,1.0,508.4132395667988,77.6
4,config_A,test,2450000,1.0,744.5973294146108,108.6,2,1.0,744.5973294146108,108.6
4,config_B,test,4710000,1.0,562.3237221218121,87.8,1,1.0,562.3237221218121,87.8
4,config_C,test,1470000,1.0,768.428742687051,127.2,1,1.0,768.428742687051,127.2
4,config_D,test,1660000,1.0,746.0210612947478,111.6,1,1.0,746.0210612947478,111.6
4,config_E,test,3850000,1.0,39.55083036655625,62.4,1,1.0,39.55083036655625,62.4
