config_name,config_A,config_A,config_B,config_B,config_C,config_C,config_D,config_D,config_E,config_E
group,test,train,test,train,test,train,test,train,test,train
checkpoint_step,,,,,,,,,,
10000,117.49978469221128,87.0312464642503,38.88978187307829,42.69222825238886,75.125247621417,92.54904887084037,76.87846951247668,92.21174351368248,,
20000,93.49474112145715,155.93285695121784,33.05882088582523,70.10111099249293,99.40177137553626,105.07941047647273,128.35859426353232,83.8680200343593,,
30000,174.60719484529508,182.26155281555637,43.55390631370627,62.85118646610066,147.3840272078125,173.88271928223318,172.44393575046445,136.5808428289326,,
40000,213.60165200750453,226.3188363053144,49.955175608215164,67.63147409264332,411.5716909192235,205.65518237757624,134.2956457902136,261.96527030346687,,
50000,105.26796530534105,213.3168139211901,158.0261039079699,96.29311273682296,150.3022977602526,190.1017983465947,311.8033109815766,289.4092257296085,292.4705585234392,228.94151425841477
60000,117.60653383995479,218.97099931351516,249.2016038446242,113.70794996641857,187.0339137221774,196.12190443860266,300.8455872252622,252.00068158509862,,
70000,238.1636005290352,264.78448317036936,128.39041646803537,114.35445823274026,116.2455705721065,219.2149545278599,532.7165305709968,237.77270991176573,,
80000,305.01146270025765,236.2456513384987,129.7011450204639,132.96249238109073,204.42553560240964,225.57728102991808,367.79354073420734,301.635911051736,,
90000,405.28206088809463,250.09403302456968,218.69212461521357,174.9037097820982,396.63724560005693,249.63413190893803,335.4243903371088,329.1743657877586,,
100000,372.334507520876,432.9862038304145,207.23153316051972,181.3775577572176,384.4037083137449,283.75231273733937,408.84789896060477,351.5696853352424,426.927125238895,249.04922844700232
110000,532.9220418392431,444.3492211398014,282.43248122558913,204.1808428239844,263.2071412033897,232.18658266482845,369.6217437707205,352.48416770292874,,
120000,644.9828664794513,481.15409514931764,237.98096091169995,231.98940542192946,160.34682893241637,172.92949707453337,460.6895362474502,465.6573588366279,,
130000,524.5588516241735,434.4788009144378,600.5008115653452,255.35910013993208,199.19015578416617,253.51480939404388,454.0586647829444,484.28603590249804,,
140000,751.1620286206628,592.5203204145112,305.9834285025384,324.97759227023295,478.20406753526913,368.63611427317466,752.086732957209,528.6058521863272,,
150000,838.622139322379,876.7134327901767,395.37209384787644,321.0672200176643,719.2043586663582,640.2338516329072,636.5030240956478,711.5588423697989,633.8355869709776,514.9279696657885
160000,1198.2789014762136,1060.4303676563493,279.1385866456079,416.0674320438043,722.1007126781818,602.4909384686647,842.3964487514868,900.8565575856935,,
170000,1333.2303213202624,1226.4690539479416,502.14071702311156,387.4719534752718,825.9120277505612,687.6743861902704,1150.5096619115232,961.2033179695121,,
180000,1260.3063009053526,1236.5943736502406,493.46180509397163,465.90368889325043,1048.4446304872695,726.8531033769366,1479.7721785788833,1122.7093664644,,
190000,991.795605429504,1101.0197325630545,767.0292835711695,592.2492117718548,798.296481484306,814.6028318602933,1012.0224005121203,972.8960297708211,,
200000,1224.8301728658487,1135.8624679212487,762.6016227946656,637.1928902442853,895.503974516906,856.5150268277223,1224.2245199600816,993.6000527499431,701.6276093118547,650.5766188648621
210000,1171.9881718781294,1119.3979386713943,799.9400235880945,739.7922259361555,816.929415973138,930.8740014495813,1061.853132774887,803.3953602329302,,
220000,1581.438265987425,1311.4395288032633,775.1369864155215,798.9392990267295,823.6449222529438,715.2488416689832,1085.0456999858577,1102.027135462606,,
230000,1545.2637318754335,1281.0097846753706,984.4411364357666,790.5938931997002,767.8305667234647,735.3464838897796,1173.9264845132443,1147.7858774783426,,
240000,1665.9815733254757,1417.9160824250462,949.7241062480498,772.1544830600244,908.9054813798451,1036.9233889535662,1104.9725151812058,1247.0509572013386,,
250000,1368.014867776277,1309.5523115852416,1181.3367089416226,909.4252386246932,1224.362747595434,931.1730386697552,1458.350363125869,1311.7340286602243,908.6128640382465,861.2418783899051
260000,1590.8482917007195,1212.3067042590208,1061.426359806644,980.7956064058104,1424.4414807805056,1174.4710436696616,1347.7132367340168,1438.4252379183843,,
270000,1486.3297900139803,1359.590307841901,1172.4804958479795,1002.883510526409,1362.6164737243562,1134.2885913168277,1631.9221589743916,1302.6357380181057,,
280000,1749.0322093482548,1364.4535249467174,1108.7984573861556,1115.9950618764883,1231.7661363128675,1195.7726456585153,1236.6245756384074,1436.7440878573402,,
290000,1809.5816860675172,1548.6489145554103,1038.8562720846232,1077.5675196400807,1211.2500078729029,1031.6636095678089,1541.6628175547226,1522.0183922395443,,
300000,1499.9978547674416,1523.9865395361517,1003.6215777713069,1086.3981460562331,1082.0760378083787,1065.513339359366,1383.4602003417642,1397.7889968756383,1332.0121639933755,1048.5147553544798
310000,1087.016185311437,1433.6503309344923,1077.0879142210508,1019.3911001086444,1458.0647045838373,1299.6332839034176,1258.122253518241,1259.2921279296872,,
320000,1581.8911982236082,1306.486220379797,1056.3077782408368,1023.1065757317349,1235.3754767751234,1107.5449656371648,1479.4524095519164,1368.79693755177,,
330000,1350.5812803262618,1523.110939200774,1258.1591832400718,1289.2718010692001,1223.549220393545,1145.6578845662384,1225.7259838283585,1223.5763340589551,,
340000,1535.9922054853807,1373.362065611324,1148.5164826778869,1306.2112546205644,874.7182363327095,1062.6894807385072,1596.942351824584,1306.5589629983315,,
350000,1199.570781037497,1384.6771217803782,1287.719869850544,1221.6799779842481,1105.7339504867173,1057.8037636836464,1456.9972722387104,1283.9061915640125,1606.56905992497,1281.57546703989
360000,1420.730617779533,1404.3633430968987,1013.7233773301061,1204.668546526151,868.5457751741538,830.4644048902192,1396.1419454724592,1155.0074557163523,,
370000,1173.5401023039392,1450.476171112368,1304.05424106383,1340.1999370894541,647.7930756904511,729.3270424388545,1046.556917639966,1241.7014423048943,,
380000,1393.9058828334316,1352.6351100633724,1146.5432946167666,1246.7491918129022,787.4430201995888,727.4093758092301,1445.2732858538075,1266.0228231074975,,
390000,1567.8984771230423,1470.622512881873,1204.9538263209834,1364.8385483930813,659.3854549441401,877.9498614077316,1031.967864845907,1276.8945453809652,,
400000,920.309417263079,1318.7419034676248,1337.0171272124041,1226.9592119582576,1104.9882524321242,890.7880596358125,1161.9115464240497,1342.186659589221,930.5007550425811,1058.803068803651
410000,1018.5998936052392,1400.7572428013225,1590.1425478494384,1410.7384046521422,1170.8077490454757,892.8111123497978,1221.1953416062486,1276.6188764414842,,
